Date,Close,High,Low,Open,Volume,MA5,MA20,Return,RSI,sentiment_score,positive_ratio,negative_ratio,discussion_volume,Target
2021-03-24,5441.77001953125,5534.719507442498,5424.870112638296,5505.144670379828,152050000,5592.1791015625,5682.8046875,-0.01904038213322279,29.1044631266428,1.3611,0.6023,0.3977,52,5382.62060546875
2021-03-25,5382.62060546875,5441.770282451923,5348.820790049794,5407.970467032967,119101500,5535.5646484375,5667.8060546875,-0.010869517427271824,34.513241748151955,2.4125,0.6595,0.3405,60,5420.64453125
2021-03-26,5420.64453125,5445.994388761691,5323.470077455183,5382.619744982463,134467500,5477.25986328125,5655.553637695312,0.007064203214065978,32.42002818582692,6.189,0.7709,0.2291,34,5374.17041015625
2021-03-29,5374.17041015625,5505.1446890201205,5374.17041015625,5416.420177531692,113370500,5433.32001953125,5640.7662353515625,-0.008573541545811914,33.17751128863027,7.1451,0.7505,0.2495,63,5403.74560546875
2021-03-30,5403.74560546875,5454.445329679559,5382.620720380913,5382.620720380913,83115500,5404.590234375,5613.303955078125,0.005503211296874477,39.393909318534675,5.0793,0.7008,0.2992,43,5251.64599609375
2021-03-31,5251.64599609375,5403.745156077157,5192.4963227668695,5399.520179410951,223390500,5366.5654296875,5579.504174804688,-0.028147070658002593,27.102862786011187,2.8888,0.6459,0.3541,110,5260.09619140625
2021-04-01,5260.09619140625,5298.120983151355,5200.946515358308,5251.646237685115,112286000,5342.060546875,5546.76064453125,0.0016090565355673103,23.52941176088393,3.2069,0.6229,0.3771,40,5200.9462890625
2021-04-05,5200.9462890625,5315.020659334383,5200.9462890625,5281.220845920491,73311500,5298.1208984375,5522.889501953125,-0.011245022940908789,24.24243131337346,4.4824,0.6147,0.3853,65,5209.39599609375
2021-04-06,5209.39599609375,5213.620972570711,5137.571395985401,5184.04613723198,80215000,5265.166015625,5496.060888671875,0.0016246480085786441,26.041652240969626,8.1263,0.6758,0.3242,38,5281.22119140625
2021-04-07,5281.22119140625,5302.346076171874,5184.046721484375,5200.946629296875,107908000,5240.6611328125,5476.2034912109375,0.013787624393760467,32.52430479255696,7.177,0.6915,0.3085,41,5256.71484375
2021-04-08,5256.71484375,5325.262062576406,5248.1464413967,5312.409459046455,123697500,5241.67490234375,5459.9794921875,-0.0046402804896956695,24.896313808657396,7.1596,0.6992,0.3008,58,5312.40966796875
2021-04-09,5312.40966796875,5415.230500252016,5265.283453172253,5410.946298906881,116961000,5252.13759765625,5442.31533203125,0.010594986769154602,25.736810780293197,6.7455,0.7033,0.2967,41,5196.736328125
2021-04-12,5196.736328125,5393.809593659831,5192.45212670033,5393.809593659831,110411500,5251.29560546875,5416.332470703125,-0.021774175388092565,25.81909773790248,4.8049,0.626,0.374,82,5141.0419921875
2021-04-13,5141.0419921875,5192.452412109375,5123.905185546875,5183.884008789062,119211500,5237.6248046875,5391.789892578125,-0.01071717563118979,25.532446604031037,3.2975,0.624,0.376,82,5402.37841796875
2021-04-14,5402.37841796875,5402.37841796875,5192.452531782811,5231.010347612882,135519500,5261.85625,5382.004125976562,0.0508333575524933,48.00266198815604,5.2581,0.687,0.313,72,5380.95654296875
2021-04-15,5380.95654296875,5406.661749384206,5295.272521583897,5402.377548314963,102686500,5286.70458984375,5371.781005859375,-0.003965267395699135,49.91226768737291,6.479,0.7492,0.2508,53,5376.6728515625
2021-04-16,5376.6728515625,5458.072679594124,5325.262433858317,5458.072679594124,79293500,5299.5572265625,5357.330004882812,-0.0007960836278909644,47.59621646402638,5.3753,0.7079,0.2921,27,5372.38818359375
2021-04-19,5372.38818359375,5380.956585800439,5338.114574766996,5376.672384697095,47095000,5334.68759765625,5340.340991210937,-0.0007968995114711053,49.89786026260448,2.7353,0.604,0.396,42,5342.39892578125
2021-04-20,5342.39892578125,5355.251529451934,5299.556913545634,5312.40951721632,72721000,5374.958984375,5327.7674560546875,-0.0055821092571235464,46.485878391484285,5.5526,0.6895,0.3105,40,5282.419921875
2021-04-21,5282.419921875,5333.830334739963,5282.419921875,5312.409329379562,68397000,5350.96728515625,5314.518725585937,-0.011226979628347178,51.97082089661105,3.0385,0.5705,0.4295,31,5325.26220703125
2021-04-22,5325.26220703125,5376.672622545631,5295.272797981194,5312.409603152655,63758000,5339.82841796875,5308.693334960937,0.008110352033702695,53.997273242959636,4.988,0.6327,0.3673,59,5475.20947265625
2021-04-23,5475.20947265625,5479.493674121552,5333.830824301276,5380.9570404196,108498500,5359.5357421875,5313.322778320313,0.0281577244078266,65.13713650553935,5.5763,0.7053,0.2947,54,5385.24072265625
2021-04-26,5385.24072265625,5483.777346857598,5380.956521604017,5479.493145805365,108742000,5362.10625,5311.552587890625,-0.016432019715284518,58.904005941333416,4.5173,0.6958,0.3042,51,5488.0625
2021-04-27,5488.0625,5513.767710772833,5445.220482045277,5458.073087431694,132650000,5391.23896484375,5317.2471923828125,0.019093255555163724,60.1547723471118,3.2793,0.6433,0.3567,44,5415.23046875
2021-04-28,5415.23046875,5488.061891193632,5410.9462674297865,5483.777689873417,87660000,5417.80107421875,5317.821435546875,-0.013270991584006242,57.42970342682427,5.0717,0.7005,0.2995,33,5492.34619140625
2021-04-29,5492.34619140625,5535.188205379778,5449.504177432723,5535.188205379778,57355000,5451.21787109375,5329.8564453125,0.014240524591015324,58.26769462243954,5.621,0.7055,0.2945,38,5488.0625
2021-04-30,5488.0625,5526.62031615925,5466.641491022639,5526.62031615925,65829500,5453.7884765625,5341.2547607421875,-0.000779938346376019,64.91226139891285,7.0055,0.6631,0.3369,29,5475.20947265625
2021-05-03,5475.20947265625,5552.32509903169,5436.65165946853,5552.32509903169,42065500,5471.7822265625,5354.967919921875,-0.0023419972611008477,67.88982766716104,4.2554,0.6159,0.3841,51,5483.77783203125
2021-05-04,5483.77783203125,5509.483040618897,5432.367414855958,5440.935817718506,50123500,5470.92529296875,5368.68701171875,0.001564937271859801,55.9747827966503,5.8881,0.7027,0.2973,19,5505.1982421875
2021-05-05,5505.1982421875,5509.482443154183,5483.777237354086,5500.914041220817,51685000,5488.91884765625,5379.8858642578125,0.0039061411334229135,59.1194607774691,6.5143,0.7604,0.2396,22,5505.1982421875
2021-05-06,5505.1982421875,5526.619247020914,5483.777237354086,5483.777237354086,38115500,5491.4892578125,5392.310034179687,0.0,59.49358869551123,5.202,0.7189,0.2811,31,5483.77783203125
2021-05-07,5483.77783203125,5535.188249206543,5470.925227737427,5535.188249206543,48864000,5490.63232421875,5400.878442382813,-0.0038909425626312277,58.02470524326273,5.7828,0.6776,0.3224,22,5500.91455078125
2021-05-10,5500.91455078125,5500.91455078125,5479.493543963567,5483.777745327103,68180500,5495.77333984375,5416.087353515625,0.003124984139565745,61.63520839174923,5.1149,0.6319,0.3681,29,5552.3251953125
2021-05-11,5552.3251953125,5552.3251953125,5402.378141426746,5483.7779706790125,70680000,5509.4828125,5436.651513671875,0.009345835870864239,70.06369379055187,4.5062,0.6844,0.3156,38,5569.4609375
2021-05-17,5569.4609375,5569.4609375,5462.355919471154,5569.4609375,129058500,5522.3353515625,5445.005639648438,0.0030862281269055103,68.87411018819985,2.6581,0.6233,0.3767,30,5475.20947265625
2021-05-18,5475.20947265625,5530.904091705179,5453.788465329739,5483.777875586854,73563000,5516.33759765625,5449.718286132813,-0.016922906166580876,49.99999998816005,0.6135,0.5081,0.4919,28,5436.6513671875
2021-05-19,5436.6513671875,5483.777580772262,5428.082964717543,5466.6407758323485,64912500,5506.9123046875,5452.717211914062,-0.007042306903747297,54.76193705291563,0.9637,0.5472,0.4528,58,5466.640625
2021-05-20,5466.640625,5513.766837284483,5440.935418299373,5475.209027233542,64950000,5500.05751953125,5457.429833984375,0.005516126708712266,47.70631744156697,0.9317,0.5791,0.4209,36,5449.5048828125
2021-05-21,5449.5048828125,5526.62051794664,5363.820843774568,5526.62051794664,92620000,5479.49345703125,5462.785131835937,-0.003134601917882618,54.16680515786453,4.2258,0.5896,0.4104,30,5419.5146484375
2021-05-24,5419.5146484375,5466.640862771739,5389.525239315712,5445.219856256175,59210000,5449.50419921875,5469.639868164062,-0.0055032952570770455,39.99989271538822,2.6314,0.5864,0.4136,36,5445.2197265625
2021-05-25,5445.2197265625,5518.051146980723,5398.093513350708,5398.093513350708,87470000,5443.50625,5475.637744140625,0.00474305907308703,44.44430372041685,5.2517,0.6756,0.3244,17,5372.38818359375
2021-05-27,5372.38818359375,5552.324629934211,5372.38818359375,5518.051021107456,537971500,5430.65361328125,5470.4966796875,-0.013375317549348509,38.461403569746594,6.4003,0.6792,0.3208,73,5432.3671875
2021-05-28,5432.3671875,5458.07239501183,5423.798784996056,5423.798784996056,102108500,5423.79892578125,5472.853002929687,0.011164309401434203,44.8275319858428,2.785,0.5654,0.4346,31,5462.35693359375
2021-05-31,5462.35693359375,5475.209538143383,5419.514918428309,5449.504329044118,101442000,5426.3693359375,5471.567724609375,0.005520566828169704,45.76276423805568,3.9309,0.6288,0.3712,39,5539.47216796875
2021-06-02,5539.47216796875,5582.314180095345,5500.914357054815,5569.461576457367,141732500,5450.36083984375,5477.779809570313,0.01411757512599321,52.941215894894,6.6371,0.7304,0.2696,35,5655.1455078125
2021-06-03,5655.1455078125,5655.1455078125,5509.482668974905,5565.177283824573,133810500,5492.34599609375,5485.919775390625,0.020881653763442642,62.65823650957021,4.8708,0.7031,0.2969,37,5638.0087890625
2021-06-04,5638.0087890625,5672.282398722455,5569.461569742592,5672.282398722455,62108500,5545.4701171875,5493.41708984375,-0.003030287854897118,60.126596419059794,4.5036,0.6697,0.3303,22,5595.16748046875
