Date,sentiment_score,positive_ratio,negative_ratio,discussion_volume
2021-11-09,-0.0034,0.0036,0.9964,41
2021-11-10,-0.0017,0.0018,0.9982,25
2021-11-11,-0.0008,0.0009,0.9991,20
2021-11-12,-0.0004,0.0005,0.9995,20
2021-11-15,-0.0002,0.0002,0.9998,35
2021-11-16,-0.0001,0.0001,0.9999,27
2021-11-17,-0.0001,0.0001,0.9999,21
2021-11-18,-0.0298,0.0357,0.9643,28
2021-11-19,-0.0149,0.0179,0.9821,11
2021-11-22,-0.0074,0.0089,0.9911,34
2021-11-23,-0.0037,0.0045,0.9955,18
2021-11-24,-0.0019,0.0022,0.9978,13
2021-11-25,-0.0251,0.0305,0.9695,17
2021-11-26,-0.0249,0.0288,0.9712,37
2021-11-29,-0.0223,0.025,0.975,47
2021-11-30,-0.0111,0.0125,0.9875,18
2021-12-01,-0.0056,0.0063,0.9937,18
2021-12-02,-0.0028,0.0031,0.9969,29
2021-12-03,-0.0014,0.0016,0.9984,37
2021-12-06,-0.0007,0.0008,0.9992,35
2021-12-07,-0.0003,0.0004,0.9996,22
2021-12-08,-0.0002,0.0002,0.9998,25
2021-12-09,-0.0001,0.0001,0.9999,28
2021-12-10,-0.0,0.0,1.0,33
2021-12-13,-0.0,0.0,1.0,43
2021-12-14,-0.0217,0.025,0.975,20
2021-12-15,-0.0109,0.0125,0.9875,23
2021-12-16,-0.0054,0.0063,0.9937,28
2021-12-17,-0.0027,0.0031,0.9969,49
2021-12-20,-0.0014,0.0016,0.9984,65
2021-12-21,-0.0007,0.0008,0.9992,22
2021-12-22,-0.0187,0.0212,0.9788,24
2021-12-23,-0.0221,0.0245,0.9755,36
2021-12-24,-0.011,0.0123,0.9877,33
2021-12-27,-0.0055,0.0061,0.9939,27
2021-12-28,-0.0028,0.0031,0.9969,18
2021-12-29,-0.0014,0.0015,0.9985,21
2021-12-30,-0.0007,0.0008,0.9992,16
2021-12-31,-0.0003,0.0004,0.9996,12
2022-01-03,-0.0002,0.0002,0.9998,29
2022-01-04,-0.0158,0.0173,0.9827,29
2022-01-05,-0.0079,0.0087,0.9913,44
2022-01-06,-0.0039,0.0043,0.9957,31
2022-01-07,-0.002,0.0022,0.9978,62
2022-01-10,-0.001,0.0011,0.9989,50
2022-01-11,-0.0005,0.0005,0.9995,36
2022-01-12,-0.0002,0.0003,0.9997,34
2022-01-13,-0.0001,0.0001,0.9999,27
2022-01-14,-0.0077,0.0084,0.9916,60
2022-01-17,-0.0038,0.0042,0.9958,57
2022-01-18,-0.0131,0.0143,0.9857,41
2022-01-19,-0.0066,0.0071,0.9929,27
2022-01-20,-0.0163,0.0179,0.9821,35
2022-01-21,-0.0238,0.0268,0.9732,56
2022-01-24,-0.0119,0.0134,0.9866,77
2022-01-25,-0.0178,0.0195,0.9805,39
2022-01-26,-0.0089,0.0098,0.9902,31
2022-01-27,-0.0249,0.0281,0.9719,43
2022-01-28,-0.0125,0.0141,0.9859,52
2022-01-31,-0.0174,0.0189,0.9811,42
2022-02-01,-0.0087,0.0095,0.9905,7
2022-02-02,-0.0043,0.0047,0.9953,33
2022-02-03,-0.0022,0.0024,0.9976,27
2022-02-04,-0.0011,0.0012,0.9988,25
2022-02-07,-0.0005,0.0006,0.9994,45
2022-02-08,-0.0003,0.0003,0.9997,32
2022-02-09,-0.0155,0.0171,0.9829,59
2022-02-10,-0.0077,0.0085,0.9915,52
2022-02-11,-0.0227,0.026,0.974,46
2022-02-14,-0.0113,0.013,0.987,51
2022-02-15,-0.0057,0.0065,0.9935,30
2022-02-16,-0.0292,0.0339,0.9661,49
2022-02-17,-0.0146,0.0169,0.9831,35
2022-02-18,-0.0217,0.0246,0.9754,31
2022-02-21,-0.0219,0.0245,0.9755,41
2022-02-22,-0.011,0.0122,0.9878,28
2022-02-23,-0.0127,0.0141,0.9859,63
2022-02-24,-0.0148,0.0161,0.9839,55
2022-02-25,-0.0074,0.0081,0.9919,38
2022-02-28,-0.0037,0.004,0.996,16
2022-03-01,-0.0019,0.002,0.998,12
2022-03-02,-0.0009,0.001,0.999,21
2022-03-03,-0.0005,0.0005,0.9995,7
2022-03-04,-0.0002,0.0003,0.9997,19
2022-03-07,-0.0111,0.0123,0.9877,41
2022-03-08,-0.0055,0.0062,0.9938,26
2022-03-09,-0.0028,0.0031,0.9969,27
2022-03-10,-0.0014,0.0015,0.9985,23
2022-03-11,-0.0007,0.0008,0.9992,23
2022-03-14,-0.0072,0.0078,0.9922,67
2022-03-15,-0.0036,0.0039,0.9961,31
2022-03-16,-0.0018,0.002,0.998,34
2022-03-17,-0.0009,0.001,0.999,60
2022-03-18,-0.0254,0.0305,0.9695,50
2022-03-21,-0.0127,0.0152,0.9848,38
2022-03-22,-0.0063,0.0076,0.9924,19
2022-03-23,-0.0032,0.0038,0.9962,31
2022-03-24,-0.0117,0.0133,0.9867,44
2022-03-25,-0.0059,0.0066,0.9934,30
2022-03-28,-0.0029,0.0033,0.9967,60
2022-03-29,-0.0015,0.0017,0.9983,28
2022-03-30,-0.0007,0.0008,0.9992,28
2022-03-31,-0.0164,0.0189,0.9811,27
2022-04-01,-0.0082,0.0095,0.9905,35
2022-04-04,-0.0041,0.0047,0.9953,28
2022-04-05,-0.0243,0.0287,0.9713,19
2022-04-06,-0.032,0.0382,0.9618,21
2022-04-07,-0.016,0.0191,0.9809,18
2022-04-08,-0.008,0.0095,0.9905,24
2022-04-11,-0.004,0.0048,0.9952,49
2022-04-12,-0.0156,0.018,0.982,32
2022-04-13,-0.0078,0.009,0.991,18
2022-04-14,-0.0039,0.0045,0.9955,30
2022-04-15,-0.002,0.0023,0.9977,9
2022-04-18,-0.001,0.0011,0.9989,44
2022-04-19,-0.0104,0.0119,0.9881,44
2022-04-20,-0.0151,0.0173,0.9827,44
2022-04-21,-0.0075,0.0087,0.9913,62
2022-04-22,-0.0038,0.0043,0.9957,41
2022-04-25,-0.008,0.0089,0.9911,74
2022-04-26,-0.004,0.0045,0.9955,36
2022-04-27,-0.002,0.0022,0.9978,40
2022-04-28,-0.001,0.0011,0.9989,32
2022-04-29,-0.0005,0.0006,0.9994,8
2022-05-02,-0.0003,0.0003,0.9997,14
2022-05-03,-0.0001,0.0001,0.9999,5
2022-05-04,-0.0001,0.0001,0.9999,4
2022-05-05,-0.0611,0.1,0.9,5
2022-05-06,-0.0305,0.05,0.95,4
2022-05-09,-0.0192,0.0295,0.9705,112
2022-05-10,-0.014,0.0196,0.9804,102
2022-05-11,-0.007,0.0098,0.9902,43
2022-05-12,-0.0133,0.0161,0.9839,89
2022-05-13,-0.0066,0.0081,0.9919,59
2022-05-16,-0.0033,0.004,0.996,18
2022-05-17,-0.0017,0.002,0.998,29
2022-05-18,-0.0008,0.001,0.999,34
2022-05-19,-0.0004,0.0005,0.9995,50
2022-05-20,-0.0146,0.0169,0.9831,30
2022-05-23,-0.0073,0.0085,0.9915,28
2022-05-24,-0.0273,0.0336,0.9664,34
2022-05-25,-0.0373,0.0462,0.9538,17
2022-05-26,-0.0186,0.0231,0.9769,7
2022-05-27,-0.0093,0.0116,0.9884,20
2022-05-30,-0.0047,0.0058,0.9942,38
2022-05-31,-0.0161,0.019,0.981,31
2022-06-01,-0.0081,0.0095,0.9905,1
2022-06-02,-0.004,0.0048,0.9952,28
2022-06-03,-0.0319,0.0408,0.9592,13
2022-06-06,-0.0159,0.0204,0.9796,33
2022-06-07,-0.008,0.0102,0.9898,25
2022-06-08,-0.0209,0.0251,0.9749,25
2022-06-09,-0.0104,0.0126,0.9874,23
2022-06-10,-0.0182,0.0214,0.9786,33
2022-06-13,-0.0144,0.0167,0.9833,84
2022-06-14,-0.0072,0.0083,0.9917,29
2022-06-15,-0.0036,0.0042,0.9958,15
2022-06-16,-0.0018,0.0021,0.9979,19
2022-06-17,-0.0009,0.001,0.999,27
2022-06-20,-0.0004,0.0005,0.9995,31
2022-06-21,-0.0002,0.0003,0.9997,13
2022-06-22,-0.0001,0.0001,0.9999,22
2022-06-23,-0.0242,0.0295,0.9705,17
2022-06-24,-0.0121,0.0147,0.9853,14
2022-06-27,-0.0061,0.0074,0.9926,30
2022-06-28,-0.003,0.0037,0.9963,24
2022-06-29,-0.0162,0.0191,0.9809,29
2022-06-30,-0.0279,0.0339,0.9661,41
2022-07-01,-0.0139,0.017,0.983,27
2022-07-04,-0.0122,0.0144,0.9856,85
2022-07-05,-0.0061,0.0072,0.9928,36
2022-07-06,-0.0031,0.0036,0.9964,23
2022-07-07,-0.0227,0.0268,0.9732,20
2022-07-08,-0.0114,0.0134,0.9866,23
2022-07-11,-0.0194,0.0228,0.9772,31
2022-07-12,-0.0097,0.0114,0.9886,14
2022-07-13,-0.0204,0.0242,0.9758,27
2022-07-14,-0.0102,0.0121,0.9879,27
2022-07-15,-0.0051,0.0061,0.9939,28
2022-07-18,-0.0156,0.0182,0.9818,33
2022-07-19,-0.0359,0.0448,0.9552,14
2022-07-20,-0.0179,0.0224,0.9776,37
2022-07-21,-0.009,0.0112,0.9888,12
2022-07-22,-0.0045,0.0056,0.9944,9
2022-07-25,-0.0022,0.0028,0.9972,21
2022-07-26,-0.0011,0.0014,0.9986,9
2022-07-27,-0.0006,0.0007,0.9993,28
2022-07-28,-0.0003,0.0004,0.9996,27
2022-07-29,-0.0001,0.0002,0.9998,25
2022-08-01,-0.0001,0.0001,0.9999,26
2022-08-02,-0.0191,0.0228,0.9772,22
2022-08-03,-0.0096,0.0114,0.9886,14
2022-08-04,-0.0293,0.0363,0.9637,49
2022-08-05,-0.0146,0.0182,0.9818,29
2022-08-08,-0.0073,0.0091,0.9909,26
2022-08-09,-0.0206,0.0245,0.9755,25
2022-08-10,-0.0291,0.0345,0.9655,45
2022-08-11,-0.0146,0.0172,0.9828,18
2022-08-12,-0.0073,0.0086,0.9914,10
2022-08-15,-0.0185,0.0216,0.9784,29
2022-08-16,-0.0093,0.0108,0.9892,14
2022-08-17,-0.0046,0.0054,0.9946,4
2022-08-18,-0.0023,0.0027,0.9973,16
2022-08-19,-0.0268,0.0326,0.9674,16
2022-08-22,-0.0134,0.0163,0.9837,32
2022-08-23,-0.0067,0.0081,0.9919,14
2022-08-24,-0.0359,0.0425,0.9575,13
2022-08-25,-0.0179,0.0213,0.9787,27
2022-08-26,-0.009,0.0106,0.9894,24
2022-08-29,-0.0159,0.0181,0.9819,39
2022-08-30,-0.008,0.0091,0.9909,25
2022-08-31,-0.004,0.0045,0.9955,20
2022-09-01,-0.046,0.0648,0.9352,16
2022-09-02,-0.023,0.0324,0.9676,6
2022-09-05,-0.0115,0.0162,0.9838,47
