Date,sentiment_score,positive_ratio,negative_ratio,discussion_volume
2022-10-17,7.2229,0.6881,0.3119,39
2022-10-18,5.1392,0.6496,0.3504,18
2022-10-19,2.5202,0.547,0.453,9
2022-10-20,6.7497,0.6485,0.3515,36
2022-10-21,7.4859,0.7026,0.2974,37
2022-10-24,6.9409,0.6358,0.3642,58
2022-10-25,9.0534,0.6883,0.3117,27
2022-10-26,6.9369,0.6702,0.3298,23
2022-10-27,9.7462,0.6684,0.3316,12
2022-10-28,7.4642,0.7009,0.2991,15
2022-10-31,10.2121,0.8004,0.1996,20
2022-11-01,9.7272,0.8065,0.1935,16
2022-11-02,7.9253,0.8477,0.1523,9
2022-11-03,9.7115,0.8572,0.1428,15
2022-11-04,7.8858,0.7286,0.2714,10
2022-11-07,14.7476,0.7874,0.2126,13
2022-11-08,10.349,0.7573,0.2427,11
2022-11-09,5.8687,0.6514,0.3486,22
2022-11-10,4.3426,0.5949,0.4051,26
2022-11-11,4.5713,0.6975,0.3025,10
2022-11-14,6.6751,0.74,0.26,23
2022-11-15,6.532,0.7867,0.2133,12
2022-11-16,11.059,0.8308,0.1692,16
2022-11-17,10.9732,0.7404,0.2596,20
2022-11-18,9.0157,0.7386,0.2614,19
2022-11-21,13.6602,0.7377,0.2623,38
2022-11-22,9.1709,0.7489,0.2511,25
2022-11-23,14.1122,0.7673,0.2327,28
2022-11-24,14.4279,0.7755,0.2245,37
2022-11-25,10.8598,0.6378,0.3622,24
2022-11-28,10.5929,0.7213,0.2787,41
2022-11-29,7.3587,0.6273,0.3727,15
2022-11-30,7.4805,0.6867,0.3133,63
2022-12-01,5.4579,0.6639,0.3361,39
2022-12-02,5.3906,0.6798,0.3202,23
2022-12-05,3.1239,0.6256,0.3744,28
2022-12-06,3.3848,0.6253,0.3747,48
2022-12-07,3.6851,0.6564,0.3436,64
2022-12-08,4.5999,0.6561,0.3439,61
2022-12-09,3.7959,0.668,0.332,25
2022-12-12,7.8481,0.7551,0.2449,38
2022-12-13,11.2647,0.8018,0.1982,33
2022-12-14,7.8886,0.7191,0.2809,22
2022-12-15,7.1209,0.7004,0.2996,22
2022-12-16,11.2975,0.7326,0.2674,17
2022-12-19,12.2314,0.7754,0.2246,22
2022-12-20,7.6307,0.6877,0.3123,20
2022-12-21,6.5778,0.6688,0.3312,20
2022-12-22,9.0264,0.7594,0.2406,20
2022-12-23,5.9629,0.6489,0.3511,13
2022-12-26,7.379,0.6786,0.3214,24
2022-12-27,6.1375,0.6793,0.3207,25
2022-12-28,6.1845,0.6351,0.3649,22
2022-12-29,9.8129,0.6787,0.3213,18
2022-12-30,11.9549,0.7511,0.2489,17
2023-01-02,8.1024,0.7089,0.2911,24
2023-01-03,8.3262,0.8044,0.1956,10
2023-01-04,4.7695,0.6953,0.3047,29
2023-01-05,3.8791,0.6717,0.3283,54
2023-01-06,6.9776,0.6635,0.3365,29
2023-01-09,8.8504,0.6726,0.3274,22
2023-01-10,5.2652,0.6363,0.3637,30
2023-01-11,3.0325,0.5945,0.4055,38
2023-01-12,9.7476,0.6544,0.3456,21
2023-01-13,7.1701,0.6605,0.3395,27
2023-01-16,5.1118,0.5895,0.4105,27
2023-01-17,10.2164,0.767,0.233,18
2023-01-18,9.2332,0.7585,0.2415,12
2023-01-19,5.6207,0.7883,0.2117,11
2023-01-20,2.2186,0.7019,0.2981,13
2023-01-23,12.2693,0.7509,0.2491,10
2023-01-24,5.9597,0.7255,0.2745,10
2023-01-25,3.4243,0.6961,0.3039,6
2023-01-26,6.527,0.7091,0.2909,36
2023-01-27,6.6911,0.6905,0.3095,64
2023-01-30,12.3884,0.7935,0.2065,29
2023-01-31,6.1838,0.624,0.376,22
2023-02-01,12.2239,0.7287,0.2713,24
2023-02-02,5.9144,0.5866,0.4134,9
2023-02-03,7.9272,0.6796,0.3204,22
2023-02-06,7.2119,0.697,0.303,21
2023-02-07,8.9886,0.7056,0.2944,14
2023-02-08,10.4943,0.7278,0.2722,12
2023-02-09,9.8677,0.6797,0.3203,19
2023-02-10,9.8925,0.7944,0.2056,11
2023-02-13,16.4107,0.7639,0.2361,15
2023-02-14,12.8264,0.8194,0.1806,16
2023-02-15,13.2449,0.874,0.126,14
2023-02-16,11.3061,0.8656,0.1344,14
2023-02-17,9.8814,0.8151,0.1849,17
2023-02-20,10.4345,0.7409,0.2591,27
2023-02-21,12.6001,0.808,0.192,16
2023-02-22,9.6379,0.7849,0.2151,21
2023-02-23,16.1723,0.8258,0.1742,15
2023-02-24,15.4826,0.7975,0.2025,13
2023-02-27,9.1773,0.6929,0.3071,17
2023-02-28,4.4458,0.5964,0.4036,14
2023-03-01,3.572,0.6059,0.3941,13
2023-03-02,4.8485,0.678,0.322,12
2023-03-03,5.566,0.7437,0.2563,21
2023-03-06,6.276,0.6862,0.3138,35
2023-03-07,4.4158,0.6764,0.3236,18
2023-03-08,5.0855,0.6507,0.3493,24
2023-03-09,6.332,0.6435,0.3565,11
2023-03-10,8.6532,0.6432,0.3568,14
2023-03-13,4.5667,0.5848,0.4152,57
2023-03-14,2.9109,0.5872,0.4128,39
2023-03-15,3.849,0.6136,0.3864,25
2023-03-16,3.1967,0.5943,0.4057,40
2023-03-17,2.9694,0.5784,0.4216,16
2023-03-20,20.6276,0.7178,0.2822,21
2023-03-21,18.7705,0.7412,0.2588,17
2023-03-22,24.4465,0.7992,0.2008,7
2023-03-23,14.4886,0.8282,0.1718,7
2023-03-24,14.7689,0.8271,0.1729,23
2023-03-27,20.5938,0.7886,0.2114,40
2023-03-28,31.7784,0.8109,0.1891,18
2023-03-29,23.2518,0.7666,0.2334,18
2023-03-30,15.4251,0.7254,0.2746,19
2023-03-31,9.8653,0.7794,0.2206,12
